코드,배송처명,통합도매장,권역,누적배송료
33899,전남종합주류합명회사,전남종합주류합명회사,전라권,19880
33900,영진주류(유),영진주류(유),전라권,371100
33901,(합)국민종합주류,(합)국민종합주류,전라권,1360640
33902,황룡주류상사(유),황룡주류상사(유),전라권,434320
33903,한신주류(합자),한신주류(합자),전라권,19650
33904,제일주류(합),제일주류(합),전라권,421090
33905,화순주류합동(자),화순주류합동(자),전라권,200700
33906,남부유통유한회사,남부유통유한회사,전라권,115430
33907,신성주류(합자),신성주류(합자),전라권,874140
33908,금호주류전남,금호주류전남,전라권,360480
33909,대동주류합자회사,대동주류합자회사,전라권,180140
33910,삼산주류판매상사(유),삼산주류판매상사(유),전라권,39760
33911,전남동부슈퍼마켓협동조합,전남동부슈퍼마켓협동조합,전라권,1329980
33912,아시아주류상,아시아주류상,전라권,1369390
33913,현대상사(유),현대상사(유),전라권,288200
33914,전남서부수퍼마켓협동조합,전남서부수퍼마켓협동조합,전라권,2849900
33915,(유)흥진주류,(유)흥진주류,전라권,772550
33916,낭주상사(명),낭주상사(명),전라권,64040
33917,신세계순천,신세계순천,전라권,1916520
33919,순천주류판매(주),순천주류판매(주),전라권,26980
33920,동부주류(주),동부주류(주),전라권,26980
33922,대운주류(주),대운주류(주),전라권,567380
33923,소천주류 합자회사,소천주류 합자회사,전라권,286560
33925,호남제일주류(유),호남제일주류(유),전라권,104600
33926,곡성주류판매(명),곡성주류판매(명),전라권,777900
33928,합동주류(유),합동주류(유),전라권,179660
33929,상운주류(유),상운주류(유),전라권,62250
33930,(유)미항주류,(유)미항주류,전라권,676470
33931,영동주류 유한회사,영동주류 유한회사,전라권,226200
33932,공일구종합물류(주),공일구종합물류(주),전라권,514730
33933,영산주류(주),영산주류(주),전라권,143560
33934,마로현주류(자),마로현주류(자),전라권,222750
33935,한국주류합자회사,한국주류합자회사,전라권,539260
33937,천보상사여수,천보상사여수,전라권,82360
33938,중앙상사곡성,중앙상사곡성,전라권,32800
33939,대신주류보성,대신주류보성,전라권,433660
33940,진남주류상사(자),진남주류상사(자),전라권,862920
33942,한성종합주류 합자회사,한성종합주류 합자회사,전라권,131140
33944,진광상사(유),진광상사(유),전라권,255050
33945,창업주류합동상사(유),창업주류합동상사(유),전라권,1111810
33946,해동상사(주) 광주,해동상사(주) 광주,전라권,156910
33947,협심상사(자),협심상사(자),전라권,92760
33948,동서주류(합자),동서주류(합자),전라권,446730
33949,오비상사광주,오비상사광주,전라권,279620
33950,호남상사(주),호남상사(주),전라권,217190
33951,광주상사(자),광주상사(자),전라권,116230
33952,우진주류(주),우진주류(주),전라권,4872690
33953,광주생필체인(주),광주생필체인(주),전라권,60500
33954,광주맥주판매(주),광주맥주판매(주),전라권,1523140
33955,가든주류(유),가든주류(유),전라권,2272570
33956,(유)한국종합주류,(유)한국종합주류,전라권,147880
33957,(주)부성상사,(주)부성상사,전라권,242900
33958,무등상사(주),무등상사(주),전라권,148460
33959,금광상사(자),금광상사(자),전라권,121990
33960,청수주류상사(주),청수주류상사(주),전라권,186220
33961,동양상사(자)광주,동양상사(자)광주,전라권,94780
33962,대광(주),대광(주),전라권,24140
33963,광산주류판매상사(자),광산주류판매상사(자),전라권,150940
33964,신우주류광주,신우주류광주,전라권,76610
33965,광일종합광산,광일종합광산,전라권,515210
33966,강남종합주류 주식회사,강남종합주류 주식회사,전라권,2774395
33967,국진상사(자),국진상사(자),전라권,141890
33969,고창주류(유),고창주류(유),전라권,11522005
33970,오케이주류(유),오케이주류(유),전라권,756530
33971,현대주류(유),현대주류(유),전라권,309350
33972,군산주류(주),군산주류(주),전라권,43010
33973,조일주류상사(유),조일주류상사(유),전라권,155030
33974,군장종합주류(유),군장종합주류(유),전라권,196300
33975,제일주류판매(주),제일주류판매(주),전라권,1686300
33976,유한회사 길미주류,유한회사 길미주류,전라권,160620
33977,신진종합전북,신진종합전북,전라권,377060
33978,영진주류판매(유),영진주류판매(유),전라권,27920
33979,오성주류 유한회사,오성주류 유한회사,전라권,1458140
33980,근양주류상사(유),근양주류상사(유),전라권,36920
33981,번영주류(유),번영주류(유),전라권,42600
33982,합동(주),합동(주),전라권,123490
33983,천마주류상사(유),천마주류상사(유),전라권,439610
33984,전주양주합동상사(유),전주양주합동상사(유),전라권,8520
33987,(유)디오니,(유)디오니(통합),전라권,10317145
33989,전주유통(주),전주유통(주),전라권,164150
33990,한국주류상사(유),한국주류상사(유),전라권,72420
33991,동아상사(유),동아상사(유),전라권,467130
33992,샘물주류전주,샘물주류전주,전라권,333180
33993,한솔체인전주,한솔체인전주,전라권,894640
33994,신일상사(유),신일상사(유),전라권,149900
33995,성원상사전북,성원상사전북,전라권,43840
33996,백화양주상사유한회사,백화양주상사유한회사,전라권,620800
33997,서해주류(주),서해주류(주),전라권,381120
33998,종합주류(유),종합주류(유),전라권,35500
33999,부안주류(자),부안주류(자),전라권,468650
34000,전북익산수퍼마켓사업,전북익산수퍼마켓사업,전라권,2467070
34001,전주상사(유),전주상사(유),전라권,266050
34002,동양상사(유),동양상사(유),전라권,324750
34003,주류통합공사(유),주류통합공사(유),전라권,1420
34004,동보종합주류상사(유),동보종합주류상사(유),전라권,162150
34005,마한주류상사(유),마한주류상사(유),전라권,368210
34006,무진상사(유),무진상사(유),전라권,99860
34007,변산주류전북,변산주류전북,전라권,287050
34008,승화주류상사(유),승화주류상사(유),전라권,320430
34009,전북완주수퍼마켓사업협동조합,전북완주수퍼마켓사업협동조합,전라권,14200
34010,정일주류(유),정일주류(유),전라권,12780
34011,조은주류(유),조은주류(유),전라권,4260
34012,정읍주류판매(주),정읍주류판매(주),전라권,21300
34013,전북군산수퍼마켓협동조합,전북군산수퍼마켓협동조합,전라권,538910
34014,신정주류익산,신정주류익산,전라권,128950
34015,통합상사무주,통합상사무주,전라권,4260
34017,익산주류상사(유),익산주류상사(유),전라권,39760
34018,제이비종합주류(전북),제이비종합주류(전북),전라권,3437950
34019,남원제이주류판매 합자회사,남원제이주류판매 합자회사,전라권,24140
34020,백제주류전북,백제주류전북,전라권,38340
34021,대광상사(유),대광상사(유),전라권,367680
34022,협신상사(주),협신상사(주),전라권,44640
34023,우리주류(유),우리주류(유),전라권,532870
34024,제일주류주식회사제주,제일주류주식회사제주,제주권,9418750
34025,세계물산주식회사,세계물산주식회사,제주권,21175000
34026,우일상사(유),우일상사(유),제주권,1120000
34027,영주물산(주),영주물산(주),제주권,767500
34028,제주물산(유),제주물산(유),제주권,135000
34030,삼정물산제주,삼정물산제주,제주권,7371250
34031,영진(주),영진(주),제주권,535000
34032,신흥물산(유),신흥물산(유),제주권,1060000
34033,동천(주),동천(주),제주권,11277500
34034,세광(주),세광(주),제주권,547500
34035,하나(주),하나(주),제주권,277500
34036,제주도슈퍼마켓협동조,제주도슈퍼마켓협동조,제주권,972500
34038,화림물산(유),화림물산(유),제주권,767500
34039,대안물산(주),대안물산(주),제주권,490000
34040,벽상주류㈜,벽상주류㈜,제주권,2148750
34041,경민유통(주),경민유통(주),제주권,135000
34042,우주물산(주),우주물산(주),제주권,825000
34044,개화물산(유),개화물산(유),제주권,15000
34045,일신물산제주,일신물산제주,제주권,145000
34046,노나(주),노나(주),제주권,695000
34048,제주근대화체인(주),제주근대화체인(주),제주권,582500
34049,남양체인(주),남양체인(주),제주권,887500
34050,경희 주식회사,경희 주식회사,제주권,980000
34051,조일상사(유),조일상사(유),제주권,45000
34052,(주)한국생필체인,(주)한국생필체인,수도권,659730
34054,취성유통주식회사,취성유통주식회사,수도권,306250
34057,라인상사(주),라인상사(주),수도권,2789810
34058,우리와인,우리와인,수도권,198000
34059,거원유통(주),거원유통(주),수도권,12995420
34061,아그래(주),아그래(주),수도권,33930
34070,새생활체인(주),새생활체인(주),수도권,732045
34072,이전유통(주),이전유통(주),수도권,1160400
34073,유송체인(주),유송체인(주),수도권,3958890
34074,부천시수퍼마켓,부천시수퍼마켓,수도권,529670
34075,경기남부슈퍼마켓협동,경기남부슈퍼마켓협동,수도권,1751140
34077,(주)경기현대화유통,(주)경기현대화유통,수도권,1302450
34078,양지유통체인(주),양지유통체인(주),수도권,1649270
34079,안산시슈퍼마켓협동조합,안산시슈퍼마켓협동조합,수도권,651580
34084,경기남부유통(주),경기남부유통(주),수도권,3924560
34087,(주)서울중앙체인본부,(주)서울중앙체인본부,수도권,2280930
34089,(주)남은상사,(주)남은상사,수도권,1121860
34092,(주)동원체인,(주)동원체인,수도권,538630
34093,경북안동수퍼마켓조합,경북안동수퍼마켓조합,경상권,74230
34097,우리에프앤비(주),우리에프앤비(주),수도권,883520
34098,대성유통(주),대성유통(주),수도권,4908350
34103,울산슈퍼마켓협동조합,울산슈퍼마켓협동조합,경상권,2872395
34104,(주)훈성유통,(주)훈성유통,수도권,1343585
34105,(주)체인팝,(주)체인팝,수도권,4162320
34106,(주)서울체인,(주)서울체인,수도권,1046050
34107,(주)케이에스유통,(주)케이에스유통,수도권,1571520
34108,주식회사 에스엠바로코사경인,주식회사 에스엠바로코사경인,수도권,1025320
34109,(주)영진체인본부,(주)영진체인본부,수도권,2353570
34110,인천시슈퍼마켓협동,인천시슈퍼마켓협동,수도권,1463070
34111,청남㈜인천,청남㈜인천,수도권,1507380
34112,(주)대창연쇄점,(주)대창연쇄점,수도권,901690
34114,한국아이지에이 광주지점(주),한국아이지에이 광주지점(주),수도권,358700
34117,중앙체인 주식회사,중앙체인 주식회사,충청권,2078470
34118,근대화체인(주),근대화체인(주),충청권,1900670
34119,한밭연쇄점(주)대전,한밭연쇄점(주)대전,충청권,3473110
34120,(주)대전중앙체인,(주)대전중앙체인,충청권,2197560
34121,대한체인청주,대한체인청주,충청권,323290
34124,충북충주수퍼,충북충주수퍼,충청권,1419470
34125,새여수수퍼체인본부,새여수수퍼체인본부,전라권,324250
34126,만국체인(주),만국체인(주),전라권,3953370
34127,광주광역시슈퍼마켓,광주광역시슈퍼마켓,전라권,3826850
34130,신우유통대구지점(주),신우유통대구지점(주),경상권,48518200
34131,화림물산(유),화림물산(유),제주권,10467500
34132,광주맥주판매(주),광주맥주판매(주),전라권,1964910
34142,(주)새시대체인-춘천,(주)새시대체인-춘천,강원권,8021265
34144,미래유통(유),미래유통(유),전라권,2266960
34194,세븐세종상온,세븐세종상온,충청권,6681900
34195,세븐서이천(주),세븐서이천(주),수도권,7666380
34237,하이네켄코리아(주),하이네켄코리아(주),수도권,621930
34238,하이네켄대전,하이네켄대전,충청권,238300
34239,하이네켄부산,하이네켄부산,경상권,399560
34240,하이네켄대구,하이네켄대구,경상권,603340
34241,하이네켄광주,하이네켄광주,전라권,185060
34242,하이네켄제주,하이네켄제주,제주권,2500
34271,라온(유),라온(유),수도권,2310650
34283,아시아주류 합명회사,아시아주류 합명회사,경상권,7920
34284,보성주류㈜,보성주류㈜,경상권,996930
34413,강일주류(유),강일주류(유),수도권,13050
34414,세화상사(유),세화상사(유),수도권,84060
34415,명성상사 유한회사,명성상사 유한회사,수도권,44490
34416,삼성주류(주),삼성주류(주),수도권,35280
34417,서부상사(주),서부상사(주),수도권,210030
34418,한양주류합동(유한),한양주류합동(유한),강원권,587665
34419,호반주류(자),호반주류(자),강원권,92310
34420,대동주류(자),대동주류(자),강원권,251280
34421,신진논산,신진논산,충청권,108190
34422,대양물산(주),대양물산(주),충청권,150600
34423,복성주류울산,복성주류울산,경상권,2689970
34424,동평주류합자회사,동평주류합자회사,경상권,71820
34425,남송주류울산,남송주류울산,경상권,23760
34426,두성주류(주),두성주류(주),경상권,1379340
34427,동하주류(주),동하주류(주),경상권,21620
34428,백산유통(주),백산유통(주),경상권,79200
34429,대양유통(유),대양유통(유),경상권,413550
34430,금성주류진주,금성주류진주,경상권,87270
34431,창신주류(유),창신주류(유),경상권,310010
34432,대성주류판매(주),대성주류판매(주),경상권,363130
34433,경성주류(유),경성주류(유),경상권,381530
34434,성실상사(명),성실상사(명),전라권,22720
34435,강진주류전남,강진주류전남,전라권,86390
34436,샘물종합주류(유),샘물종합주류(유),전라권,188920
34437,덕성물산유한회사,덕성물산유한회사,제주권,135000
34443,부여군주류합동(명),부여군주류합동(명),충청권,23600
34444,신한주류 유한회사,신한주류 유한회사,충청권,21960
34445,백제주류합동(명),백제주류합동(명),충청권,82460
34446,창성(주),창성(주),충청권,270400
34607,산호주류(주),산호주류(주),수도권,191220
34612,진부주류평창,진부주류평창,강원권,20400
34613,대진상사(자),대진상사(자),강원권,33300
34614,홍담종합영월,홍담종합영월,강원권,225510
34643,임실제일주류(유),임실제일주류(유),전라권,14200
34658,장수주류(자),장수주류(자),경상권,31680
34724,일오종합파주,일오종합파주,수도권,7121385
34727,(유) 한일주류판매상사,(유) 한일주류판매상사,경상권,1746530
34741,까치상사(합자),까치상사(합자),경상권,14770
34752,강릉주류판매㈜,강릉주류판매㈜,강원권,590030
34754,신세계주류울산,신세계주류울산,경상권,246600
34764,진천주류충북,진천주류충북,충청권,86040
34766,서광주류합동 합자회사,서광주류합동 합자회사,충청권,255260
34804,극동연쇄목천,극동연쇄목천,수도권,11095340
34817,대양상사㈜,대양상사㈜,경상권,26400
34818,옥주주류상사(유),옥주주류상사(유),전라권,74730
34819,진로주류상사(자),진로주류상사(자),전라권,78660
34841,태양종합주류 유한회사,태양종합주류 유한회사,수도권,235040
34845,고양시수퍼마켓협동조,고양시수퍼마켓협동조,수도권,376460
34853,대한상사(유),대한상사(유),수도권,127380
34854,안동중앙주류,안동중앙주류,경상권,15480
34855,문성상사(유),문성상사(유),전라권,105520
34948,합자회사 건주류,합자회사 건주류,경상권,253260
34957,삼우상사(유),삼우상사(유),전라권,10880
34980,(주)티웨이항공,(주)티웨이항공,수도권,138000
34992,가람주류(유),가람주류(유),경상권,21120
35034,제일주류옥천,제일주류옥천,충청권,1266105
35043,월드주류(유),월드주류(유),전라권,380000
35046,대도연쇄남양,대도연쇄남양,수도권,1326170
35076,옥천주류(유),옥천주류(유),수도권,93300
35077,용문상사(자),용문상사(자),수도권,128010
35082,(유)해일주류(전남),(유)해일주류(전남),전라권,44020
35083,협동상사(유),협동상사(유),전라권,39760
35111,성광주류(자),성광주류(자),경상권,97680
35112,보은주류합동(자),보은주류합동(자),충청권,2300550
35139,황산종합주류,황산종합주류,충청권,36240
35140,경기북부수퍼마켓협동조합,경기북부수퍼마켓협동조합,수도권,300610
35141,주식회사 남부주류,주식회사 남부주류,경상권,1148040
35142,하동주류판매상사(명),하동주류판매상사(명),경상권,137370
35173,한성주류㈜,한성주류㈜,수도권,65270
35202,마산주류창원,마산주류창원,경상권,24060
35271,신흥주류진주,신흥주류진주,경상권,86950
35282,선일종합주류,선일종합주류,강원권,722380
35287,영광판매영광,영광판매영광,전라권,32660
35288,대방주류남원,대방주류남원,전라권,31830
35298,영동주류영동,영동주류영동,충청권,18000
35310,강민상사(합),강민상사(합),경상권,288660
35326,금산주류판매(명),금산주류판매(명),경상권,16140
35382,해남제일주류합동판매(자),해남제일주류합동판매(자),전라권,7100
35416,해남주류옥천,해남주류옥천,전라권,24760
35446,주식회사 국제주류,주식회사 국제주류,경상권,184090
35450,금상종합주류㈜,금상종합주류㈜,경상권,186650
35483,백승상사 주식회사,백승상사 주식회사,수도권,1148080
35509,대진주류㈜남양주,대진주류㈜남양주,수도권,2496360
35535,옥당주류영광,옥당주류영광,전라권,190420
35536,그린유한제주,그린유한제주,제주권,922500
35564,대백㈜,대백㈜,경상권,12030
35622,삼화주류인천,삼화주류인천,수도권,212020
35639,마창주류판매상사(유),마창주류판매상사(유),경상권,163620
35660,김포종합운양,김포종합운양,수도권,30240
35673,프라임주류 주식회사,프라임주류 주식회사,수도권,137400
35682,디와이유통체인 주식회사,디와이유통체인 주식회사,경상권,9490360
35683,우리종합성남,우리종합성남,수도권,1508050
35767,원수입주류 합자회사,원수입주류 합자회사,경상권,5007060
35800,세종실업 주식회사,세종실업 주식회사,수도권,829090
35801,케이엘유통 주식회사,케이엘유통 주식회사,수도권,734750
35804,미래주류 주식회사,미래주류 주식회사,수도권,182400
35826,동부주류 주식회사,동부주류 주식회사,수도권,4169590
35842,대상주류구미,대상주류구미,경상권,143060
35876,대두주류보령,대두주류보령,충청권,55300
35920,진연사홍천,진연사홍천,강원권,121980
35957,신진상사창원,신진상사창원,경상권,142560
35964,인천상사부평,인천상사부평,수도권,7830
35976,동부주류판매상사(자),동부주류판매상사(자),경상권,121840
36002,영덕주류영덕,영덕주류영덕,경상권,1330090
36044,대산주류㈜,대산주류㈜,수도권,142100
36088,유한회사 대한종합주류,유한회사 대한종합주류,경상권,561660
36194,제원물산제주,제원물산제주,제주권,60000
36205,청마주류인천,청마주류인천,수도권,148160
36219,화천주류강원,화천주류강원,강원권,24480
36270,대광상사동해,대광상사동해,강원권,30600
36328,대원상사(자),대원상사(자),경상권,30610
36334,바로물류안산,바로물류안산,수도권,728125
36355,금강주류판매(자),금강주류판매(자),전라권,20500
36367,동풍종합동해,동풍종합동해,강원권,174480
36393,백산주류(유),백산주류(유)_클럽(통합),전라권,149660
36397,순광주류광양,순광주류광양,전라권,132060
36479,대한주류대구,대한주류대구,경상권,58580
36492,담양주류전남,담양주류전남,전라권,79340
36580,원천인천공항(오전8시),원천씨제이(오전8시)(통합),수도권,2894170
36599,신화주류강원,신화주류강원,강원권,10860
36627,만화상사(유),만화상사(유),경상권,5480
36630,성일주류(유),성일주류(유),수도권,381160
36634,대덕상사예산,대덕상사예산,충청권,152780
36667,세계종합완주,세계종합완주,전라권,13400
36669,양양합동강원,양양합동강원,강원권,65160
36671,유한회사 봄내주류,유한회사 봄내주류,강원권,37350
36672,인합종합주류 유한회사,인합종합주류 유한회사,수도권,108180
36712,대찬주류포천,대찬주류포천,수도권,38850
36713,백운상사인천,백운상사인천,수도권,577200
36733,광양연합주류상사,광양연합주류상사,전라권,250650
36751,고성주류판매상사㈜,고성주류판매상사㈜,경상권,413400
36773,화산세계주류,화산세계주류주식회사_브루락(통합),경상권,1239760
36787,원천씨제이(오전8시),원천씨제이(오전8시)(통합),수도권,8278660
37216,두산상사GOLF,두산상사(주)(통합),경상권,63600
37228,현대종합구미,현대종합구미,경상권,175140
37233,대성물산㈜,대성물산㈜,제주권,1840000
37236,호남상사김제,호남상사김제,전라권,59750
37276,전북남원수퍼마켓협동조합,전북남원수퍼마켓협동조합,전라권,549420
37278,동도주류판매㈜,동도주류판매㈜,경상권,152210
37279,영일만상사(자),영일만상사(자),경상권,222020
37285,경일주류판매㈜,경일주류판매㈜,경상권,256010
37295,전주종합주류 유한회사,전주종합주류 유한회사,전라권,17040
37303,동남주류(유),동남주류(유),전라권,48280
37316,영동상사(자),영동상사(자),강원권,59580
37347,대명주류상사㈜,대명주류상사(유)_한림용인cc(통합),수도권,119800
37518,동아주류사천,동아주류사천,경상권,117480
37524,서림주류상사(유),서림주류상사(유),충청권,36600
37583,설악주류,설악주류,강원권,112800
37601,대신주류㈜,대신주류㈜,수도권,123180
37604,하나체인본부㈜,하나체인본부㈜,충청권,1761170
37609,삼성주류㈜ 강원,삼성주류㈜ 강원,강원권,835340
37617,해동주류상사(유) 고창,해동주류상사(유) 고창,전라권,21300
37656,현대주류판매상사(명),현대주류판매상사(명),경상권,101080
37904,호연주류 주식회사,호연주류 주식회사,수도권,31920
38029,창원수퍼마켓사업협동조합,창원수퍼마켓사업협동조합,경상권,3245730
38099,제일주류강릉,제일주류강릉,강원권,65280
38139,삼화상사충남,삼화상사충남,충청권,160320
38167,두손주류㈜,두손주류㈜(통합),수도권,1357580
38187,동양종합부산,동양종합부산,경상권,1159930
38204,강원주류양구,강원주류양구,강원권,27180
38209,삼성상사(합자),삼성상사(합자),경상권,68220
38210,금오주류(합),금오주류(합),경상권,797680
38925,부산서부슈퍼마켓협동조합,부산서부슈퍼마켓협동조합,경상권,694570
38947,다함주류(유),다함주류(유)(통합),수도권,1232610
39030,하늘종합주류㈜,하늘종합주류㈜,수도권,126660
39033,계림주류판매,계림주류판매,경상권,1346830
39066,진도주류상사(유),진도주류상사(유),전라권,540840
39074,모아주류판매(주),모아주류판매(주),강원권,131220
39081,충북제천수퍼마켓협동조합,충북제천수퍼마켓협동조합,충청권,504590
39093,설악상사(인제),설악상사(인제),강원권,8160
39098,서천주류상사(합),서천주류상사(합),충청권,3660
39099,진해주류판매상사(유),진해주류판매상사(유),경상권,683900
39101,심도 주식회사,심도 주식회사,수도권,1055780
39141,대양주류포항,대양주류포항,경상권,57010
39150,무봉주류용인,무봉주류용인,수도권,131890
39157,경남주류진주,경남주류진주,경상권,58330
39203,주미성주류 유한회사,주미성주류 유한회사,수도권,165800
39219,무한종합주류상사,무한종합주류상사,충청권,173340
39253,청송기업 합자회사,청송기업 합자회사,경상권,149760
39587,성아종합주류(유),성아종합주류(유),수도권,52140
39639,문암상사전남,문암상사전남,전라권,114260
39646,(주)새시대체인강릉,(주)새시대체인강릉,강원권,775370
39783,논산주류합동,논산주류합동,충청권,18300
39835,대광주류보은,대광주류보은,충청권,142160
39846,흥창기업북가좌,흥창기업북가좌,수도권,151770
4001,(주)대흥,(주)대흥,수도권,71670
5510079,파라다이스호텔 부산,파라다이스호텔 부산,경상권,1370
7310336,인천그랜드C.C,인천그랜드C.C,수도권,118430
7310344,안성원체스트,안성원체스트,수도권,1740
7310558,강원랜드㈜,강원랜드㈜,강원권,4080
7310576,대명비발디 소노펠리체,대명비발디 소노펠리체,강원권,80000
7310608,변산리조트 굿앤굿스,변산리조트 굿앤굿스,전라권,4260
7310609,테르메덴(이천),테르메덴(이천),수도권,124805
7310623,스노우가든,스노우가든,강원권,4080
7310769,Gs super 김포사우점,Gs super 김포사우점,수도권,19050
7310796,더 플레이스 다이닝,더 플레이스 다이닝,수도권,66230
7310817,㈜더엠 커뮤니케이션즈,㈜더엠 커뮤니케이션즈,수도권,1740
7310842,KCTC TPL 영업부,KCTC TPL 영업부,수도권,6960
7310950,까사32,까사32,수도권,4350
7311199,하남)아쿠아필드,하남)아쿠아필드,수도권,6720
7311402,인터비즈,인터비즈,수도권,313785
7311537,아난티펜트하우스,아난티펜트하우스,수도권,4350
7311544,개인창고 (박건영),개인창고 (박건영),강원권,659430
7311549,발리오스cc,발리오스cc,수도권,8400
7311556,에덴파라다이스호텔,에덴파라다이스호텔,수도권,3480
7311567,더엠커뮤니케이션즈,더엠커뮤니케이션즈,경상권,2052650
7311573,제이바웃,제이바웃,수도권,18750
7311629,골프존 카운티 울주,골프존 카운티 울주,경상권,34790
7311631,코오롱 씨클라우드호텔,코오롱 씨클라우드호텔,경상권,1370
7311641,인디레인(본사),인디레인(본사),수도권,6750
7311642,인디레인(공장),인디레인(공장),수도권,1769760
7311643,P&A(본사),P&A(본사),수도권,2610
7311651,아르떼리조트사천,아르떼리조트사천,경상권,21920
7311656,한화리조트 거제 벨버디어,한화리조트 거제 벨버디어,경상권,5480
7311657,아델라호텔(영도),아델라호텔(영도),경상권,2740
7311658,신라스테이 해운대,신라스테이 해운대,경상권,18480
7311663,인천유나이티드,인천유나이티드,수도권,251850
7311664,아난티코브부산,아난티코브부산,경상권,15070
7311665,힐튼부산호텔,힐튼부산호텔,경상권,58510
7311672,무노스홀딩스(고령지점),무노스홀딩스(고령지점),경상권,27100
7311673,(주)엠오디,(주)엠오디,경상권,48580
7311692,건도리,건도리,강원권,24450
7311701,양지파인 글램핑,양지파인 글램핑,수도권,4350
7311705,비바체리조트 (주)리아타운,비바체리조트 (주)리아타운,경상권,2740
7311752,소노팻클럽앤리조트,소노팻클럽앤리조트,강원권,72200
7311761,EG&IO,EG&IO,수도권,8430
7311762,대흥,대흥,수도권,2433030
7311764,인서울27,인서울27,수도권,47550
7311783,EG&IO 물류센터,EG&IO 물류센터,수도권,179670
7311797,EG&IO 대전물류센터,EG&IO 대전물류센터,충청권,149160
7311814,더엠 광주 창고,더엠 광주 창고,전라권,750150
7311842,대인인더스트리,대인인더스트리,수도권,540780
7311846,호텔 수성,호텔 수성,경상권,18880
7311878,경주월드(아메리카나),경주월드(아메리카나),경상권,101840
7311879,경주월드(수제왕꼬치),경주월드(수제왕꼬치),경상권,24660
7311887,비엠미디어,비엠미디어,수도권,444360
7311929,엘림마리나앤리조트,엘림마리나앤리조트,경상권,4110
7311935,페어필드바이메리어트(송도),페어필드바이메리어트(송도),경상권,2740
7311936,베스트웨스턴플러스(송도),베스트웨스턴플러스(송도),경상권,8220
7311940,베스트웨스턴플러스 감포,베스트웨스턴플러스 감포,경상권,802740
7311944,인터불고 엑스코,인터불고 엑스코,경상권,9240
7311951,세인관세법인 서울,세인관세법인 서울,수도권,18840
7311952,세인관세법인 인천,세인관세법인 인천,수도권,8700
7311967,KCTC 여주센터,KCTC 여주센터,수도권,2557710
7311981,포항스틸러스,포항스틸러스,경상권,2740
7311986,CJ택배 (성북월곡집배점),CJ택배 (성북월곡집배점),수도권,1650450
7311988,유탑마리나호텔여수,유탑마리나호텔여수,전라권,48680
7311991,스탠포드호텔,스탠포드호텔,경상권,10560
7312000,주식회사 에이치제이매그놀리아용평디오션호텔앤리조트,주식회사 에이치제이매그놀리아용평디오션호텔앤리조트,전라권,12780
7312007,(주) 한어울 통영한산마리나호텔,(주) 한어울 통영한산마리나호텔,경상권,8220
7312021,가평1등 수상레져,가평1등 수상레져,강원권,12900
7312022,산울로수상레져,산울로수상레져,수도권,12810
7312023,주식회사 창원스파랜드,주식회사 창원스파랜드,경상권,27400
7312028,김해 롯데워터파크,김해 롯데워터파크,경상권,14770
7312030,포르투나 호텔,포르투나 호텔,경상권,9240
7312036,호텔 포레 더 스파,호텔 포레 더 스파,경상권,16140
7312037,비체펠리스(보령),비체펠리스(보령),충청권,2440
7312043,윈덤 그랜드 송도,윈덤 그랜드 송도,수도권,6720
7312061,빌라쥬드아난티,빌라쥬드아난티,경상권,24260
7312093,L7 해운대,L7 해운대,경상권,18900
7312094,현대아울렛 대전점,현대아울렛 대전점,충청권,35700
7312096,클럽디오아시스,클럽디오아시스,경상권,63400
7312099,이비스호텔(수원),이비스호텔(수원),수도권,15120
7312106,남산타워(엔버거),남산타워(엔버거),수도권,289610
7312115,에어로케이항공㈜,에어로케이항공㈜,수도권,90000
7312121,소세지하우스(상암),소세지하우스(상암),수도권,18310
7312124,마이테이스트,마이테이스트,강원권,8160
7312125,ALSM MD 천안 창고,ALSM MD 천안 창고,충청권,172990
7312130,당항포 고성엑스포,당항포 고성엑스포,경상권,8220
7312132,FC안양,FC안양,수도권,429650
7312133,인터네셔널 호텔,인터네셔널 호텔,경상권,27120
7312134,이팝리조트,이팝리조트,강원권,10200
7312136,아델라한옥(양평),아델라한옥(양평),수도권,18750
7312137,PNA 용인 물류창고,PNA 용인 물류창고,수도권,225000
7312138,춘천)황금박쥐캠핑장,춘천)황금박쥐캠핑장,강원권,22180
7312139,붓다,붓다,강원권,12240
7312140,홍천)가든파인,홍천)가든파인,강원권,34960
7312141,춘천)더잭슨나인스호텔,춘천)더잭슨나인스호텔,강원권,18100
7312142,마레몬스호,마레몬스호,강원권,29700
7312143,회식의달인(속초),회식의달인(속초),강원권,14480
7312146,가평)캠프통포레스트,가평)캠프통포레스트,수도권,421960
7312149,춘천)수상레저V,춘천)수상레저V,강원권,18100
7312150,가평)클로버리조트,가평)클로버리조트,수도권,1740
7312151,한화리조트 대천파로스,한화리조트 대천파로스,충청권,25130
7312155,소노캄(고양),소노캄(고양),수도권,54400
7312156,(주)서한사,(주)서한사,수도권,66840
7312157,춘천)모토모토,춘천)모토모토,강원권,18100
7312159,오션블리스,오션블리스,경상권,10660
7312161,히든베이호텔(여수),히든베이호텔(여수),전라권,4260
7312162,시티호텔강릉,시티호텔강릉,강원권,16750
7312163,JD리조트(양양),JD리조트(양양),강원권,2040
7312164,울산 현대바이 라한 호텔,울산 현대바이 라한 호텔,경상권,13700
